,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,pred_num_pix,pred_sum_pix,true_num_pix,true_sum_pix,ke,true_ke
22000,7598,42,0.7650146484375,True,True,True,[58 15],[0.8214286  0.02666667],28,23.268406,23,369.3755798339844,28.757423,25.701761113189583
22001,7598,44,249.32192954244888,False,False,True,[16],[0.03980099],22,19.25654,-1,-1.0,23.799158,-1.0
22002,7598,47,0.7650146484375,True,True,True,[50],[0.5],11,15.504059,-1,-1.0,19.161467,-1.0
22003,7598,50,0.764984130859375,True,True,True,[41],[0.53333336],17,14.742911,29,414.3293762207031,18.220764,27.152543041678932
22004,7599,26,0.7650146484375,True,True,True,[46],[0.91071427],54,32.308025,53,578.4591674804688,39.92949,47.817078953292274
22005,7599,30,1.7105838141162804,True,True,True,[42],[0.8833333],54,26.192806,59,502.36395263671875,32.37169,34.798622525242386
22006,7600,17,1.0818401437525427,True,False,True,[43],[0.9591837],47,29.200308,49,506.1139831542969,36.08866,43.14342961953936
22007,7600,19,199.0441092556383,False,False,True,[47],[0.8235294],31,18.505714,31,376.7837829589844,22.871214,24.94593452951218
22008,7600,22,148.43563285090084,False,True,True,[39],[0.13333334],2,1.3013213,-1,-1.0,1.6083031,-1.0
22009,7601,28,29.795773303670696,False,True,True,[41],[0.84375],28,21.22973,31,358.9986877441406,26.237825,21.731150381812796
22010,7601,30,1.3250178108059933,True,False,True,[65  0],[0.8        0.01851852],24,16.017675,21,269.7926025390625,19.796246,34.357869589245816
22011,7601,32,71.71444306568034,False,False,True,[8],[0.02232143],5,5.1632123,-1,-1.0,6.381214,-1.0
22012,7601,34,6.491235072287761,False,True,True,[62],[0.82758623],51,33.711243,55,586.3263549804688,41.663727,38.340879652203576
22013,7601,36,0.7650146484375,True,True,True,[33 32],[0.7826087  0.00994036],23,22.345068,18,258.6436767578125,27.61627,26.66626934471127
22014,7602,12,2.1637450240959204,False,True,True,[40 21],[0.7380952  0.00457666],33,24.181757,40,514.2008056640625,29.886234,33.2162222174086
22015,7602,18,1.0818401437525427,True,True,True,[35 30],[0.8117647  0.00862069],75,30.854574,79,599.0694580078125,38.13317,53.11008078957152
22016,7602,24,217.57358156545448,False,True,True,[38 26],[0.9142857 0.003003 ],69,46.80148,65,762.7086181640625,57.84195,48.32445330213782
22017,7602,29,inf,False,True,True,[43],[0.33557048],54,28.569971,-1,-1.0,35.309628,-1.0
22018,7602,37,1.7105565183101572,True,True,True,[37],[0.78571427],33,35.99955,42,808.99169921875,44.491844,49.619415218730886
22019,7602,44,0.7649993896484375,True,False,True,[39],[0.36363637],5,3.674192,-1,-1.0,4.540934,-1.0
22020,7603,13,2.4191115287190232,False,True,True,[35],[0.8867925],48,34.89946,52,717.882080078125,43.132244,46.24861296683358
22021,7603,27,6.6251101963511125,False,True,True,[44],[0.3],3,4.0416813,-1,-1.0,4.995114,-1.0
22022,7603,29,1.0818940912343977,True,False,True,[54],[0.9166667],23,21.597359,23,425.5629577636719,26.692177,27.04338331107401
22023,7603,31,187.75099619349547,False,False,True,[34 30],[0.83076924 0.00994036],62,33.065895,57,525.5201416015625,40.866142,38.117694991722054
22024,7604,14,110.82471997679751,False,True,True,[39 13],[0.8913044  0.01818182],46,32.113453,41,510.2085266113281,39.68902,33.60074556310693
22025,7604,16,1.7105838141162804,True,False,True,[26],[0.875],31,40.86159,29,816.5454711914062,50.500843,51.61332968050908
22026,7604,18,1.0818940912343977,True,True,True,[29 21],[0.16666667 0.00190114],2,3.3895679,-1,-1.0,4.189167,-1.0
22027,7605,31,1.0818293538903043,True,True,True,[44],[1.],32,38.47995,32,656.2913818359375,47.557373,47.60886721080203
22028,7605,33,0.764984130859375,True,False,True,[7],[0.01647059],14,22.95966,-1,-1.0,28.375845,-1.0
22029,7607,25,133.97329674659645,False,False,False,[],[],51,22.749573,-1,-1.0,28.116198,-1.0
22030,7607,27,0.7650146484375,True,True,True,[49],[0.3],3,2.7867947,-1,-1.0,3.4441996,-1.0
22031,7608,31,1.7106247576893532,True,False,True,[63 10],[0.88095236 0.01234568],42,26.816357,37,474.8562927246094,33.142338,31.36473851357971
22032,7608,33,260.2687086591327,False,True,True,[47 22],[0.875      0.00253807],36,35.809433,39,666.0958251953125,44.25688,45.43331226793377
22033,7609,24,3.05999755859375,False,True,True,[37],[0.7777778],15,14.096648,17,235.44407653808594,17.422049,24.579002857977553
