,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,pred_num_pix,pred_sum_pix,true_num_pix,true_sum_pix,ke,true_ke
405,155,36,0.76495361328125,True,False,False,[],[],38,18.299845,-1,-1,22.61678,-1
406,156,42,0.76495361328125,True,True,False,[],[],6,4.854653,-1,-1,5.9998655,-1
407,157,12,475.8589345668056,False,False,False,[],[],5,2.0165687,-1,-1,2.4922774,-1
408,157,32,1.0818940912343977,True,True,False,[],[],42,25.12245,-1,-1,31.048838,-1
409,157,70,1.081872512263171,True,False,False,[],[],27,20.464285,-1,-1,25.291811,-1
410,157,72,0.764984130859375,True,False,False,[],[],28,12.889504,-1,-1,15.93014,-1
411,157,75,0.764984130859375,True,True,False,[],[],47,29.892357,-1,-1,36.943966,-1
412,158,4,1.0818509328615227,True,True,False,[],[],23,23.011606,-1,-1,28.440044,-1
413,158,5,1.0818509328615227,True,False,False,[],[],19,11.380222,-1,-1,14.064817,-1
414,158,13,1.52996826171875,True,True,False,[],[],35,18.443071,-1,-1,22.793793,-1
415,158,18,0.764984130859375,True,False,False,[],[],23,15.958786,-1,-1,19.723465,-1
416,158,51,0.764984130859375,True,False,False,[],[],54,37.314278,-1,-1,46.11672,-1
417,159,24,0.7650146484375,True,False,False,[],[],4,3.0275383,-1,-1,3.7417347,-1
418,159,26,0.7650146484375,True,False,False,[],[],67,33.528023,-1,-1,41.437286,-1
419,160,40,9.944992065429688,False,False,False,[],[],18,10.894374,-1,-1,13.464357,-1
420,161,28,0.7650146484375,True,True,False,[],[],40,18.371748,-1,-1,22.705645,-1
421,162,11,1.0818833016949811,True,False,False,[],[],26,18.195206,-1,-1,22.487455,-1
422,162,29,1.52996826171875,True,True,False,[],[],6,3.0912335,-1,-1,3.8204556,-1
423,162,30,0.7649993896484375,True,False,False,[],[],11,7.491082,-1,-1,9.258229,-1
424,162,71,0.7650146484375,True,True,False,[],[],19,12.620013,-1,-1,15.5970745,-1
425,162,96,inf,False,True,False,[],[],45,23.910414,-1,-1,29.550882,-1
426,162,98,0.764984130859375,True,True,False,[],[],58,34.711483,-1,-1,42.899925,-1
427,163,15,0.764984130859375,True,True,False,[],[],50,46.68135,-1,-1,57.693485,-1
